State,Cases_Reported,Child_Victims,Adult_Victims,Total_Victims,Road_Accidents_Cases,Road_Accidents_Died,Risk_Score,Risk_Level
Andhra Pradesh,994.0,463.0,532.0,995,21070,8293,0.04036602945841916,High Risk
Arunachal Pradesh,92.0,50.0,42.0,92,215,152,0.0012414906390806927,Low Risk
Assam,1779.0,464.0,1315.0,1779,7028,3060,0.02638367544052236,Medium Risk
Bihar,1008.0,169.0,839.0,1008,10801,8898,0.033993900478375715,Medium Risk
Chhattisgarh,1626.0,984.0,643.0,1627,13091,5890,0.035123737013515816,Medium Risk
Goa,61.0,40.0,21.0,61,3012,274,0.0033015123185585068,Low Risk
Gujarat,982.0,527.0,459.0,986,15777,7634,0.035056286585863794,Medium Risk
Haryana,1187.0,518.0,671.0,1189,10654,5228,0.028278724838304903,Medium Risk
Himachal Pradesh,252.0,148.0,110.0,258,2484,979,0.005961867654653629,Low Risk
Jharkhand,1109.0,205.0,905.0,1110,5175,3898,0.020925730496066053,Medium Risk
Karnataka,1655.0,1142.0,529.0,1671,39765,11705,0.06672926371921893,High Risk
Kerala,1656.0,876.0,785.0,1661,43592,4317,0.055106122361908004,High Risk
Madhya Pradesh,4882.0,2479.0,2429.0,4908,51965,13918,0.10776150653663395,High Risk
Maharashtra,4189.0,2310.0,1906.0,4216,30546,15748,0.08944173487024677,High Risk
Manipur,55.0,18.0,37.0,55,508,127,0.0010957044153799764,Low Risk
Meghalaya,190.0,123.0,71.0,194,246,162,0.0021543789697087696,Low Risk
Mizoram,23.0,9.0,14.0,23,71,83,0.00041091090468025433,Low Risk
Nagaland,26.0,19.0,7.0,26,24,22,0.0002826017436240661,Low Risk
Odisha,1983.0,1258.0,726.0,1984,11663,5470,0.03628604325814578,High Risk
Punjab,838.0,410.0,430.0,840,6122,4688,0.02086767195616279,Medium Risk
Rajasthan,3656.0,777.0,2880.0,3657,23620,11103,0.0704554997706686,High Risk
Sikkim,92.0,57.0,41.0,98,199,98,0.0011755442043876443,Low Risk
Tamil Nadu,319.0,0.0,320.0,320,64105,17884,0.08540020724730091,High Risk
Telangana,1278.0,619.0,659.0,1278,21619,7559,0.041760268398813,High Risk
Tripura,207.0,108.0,99.0,207,575,241,0.0026646694837181508,Low Risk
Uttar Pradesh,4816.0,2115.0,2702.0,4817,36875,24109,0.11558032930885193,High Risk
Uttarakhand,336.0,91.0,245.0,336,1674,1042,0.00614576868609018,Medium Risk
West Bengal,1110.0,0.0,1110.0,1110,10635,5788,0.028681490454889113,Medium Risk
Total (States),36657.0,16000.0,20762.0,36762,433111,168370,0.9648168970081309,High Risk
Chandigarh,68.0,41.0,28.0,69,238,83,0.0009279875756278922,Low Risk
Delhi,2155.0,800.0,1370.0,2170,5560,1461,0.025509327801508747,Medium Risk
Lakshadweep,5.0,2.0,3.0,5,4,2,4.954141452153147e-05,Low Risk
Puducherry,6.0,2.0,4.0,6,1181,181,0.0012849564744711898,Low Risk
Total (UTs),2290.0,863.0,1443.0,2306,13657,2730,0.0351831029918691,Medium Risk
Total (All India),38947.0,16863.0,22205.0,39068,446768,171100,1.0,High Risk
